Filename,SMILES_rad,BDE_kJ,CS_Filename,SMILES_CS,SMILES_react
SO2NH-4F2B_rad2,[NH-]S(=O)(=O)C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F,404.76,SO2NH-4F2B,C(F)(F)(C(C(C(F)(F)F)(F)C(F)(F)F)(F)F)S(=O)(=O)[NH-],C(F)(F)(C(C(C(F)(F)F)(F)C(F)(F)F)(F)F)S(=O)(=O)[NH-]>[NH-]S(=O)(=O)C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F
COO-4F2B_rad2,[O-]C(=O)C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F,408.2,COO-4F2B,C(F)(F)(C(=O)[O-])C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,C(F)(F)(C(=O)[O-])C(F)(F)C(F)(C(F)(F)F)C(F)(F)F>[O-]C(=O)C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F
SO2NH-2FiPF_rad4,[NH-]S(=O)(=O)C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F,411.32,SO2NH-2FiPF,C(F)(C(F)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)S(=O)(=O)[NH-],C(F)(C(F)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)S(=O)(=O)[NH-]>[NH-]S(=O)(=O)C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F
NCH33-2FiPF_rad4,C[N+](C)(C)C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F,412.84,NCH33-2FiPF,C(F)(C(F)(C(F)(F)F)C(F)(F)F)([N+](C)(C)C)C(F)(F)F,C(F)(C(F)(C(F)(F)F)C(F)(F)F)([N+](C)(C)C)C(F)(F)F>C[N+](C)(C)C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F
CH3PO2-4F2B_rad4,CP(=O)([O-])C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F,414.55,CH3PO2-4F2B,C(F)(F)(C(C(F)(C(F)(F)F)C(F)(F)F)(F)F)P(=O)([O-])C,C(F)(F)(C(C(F)(C(F)(F)F)C(F)(F)F)(F)F)P(=O)([O-])C>CP(=O)([O-])C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F
PO3H-4F2B_rad4,O=P([O-])(O)C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F,417.47,PO3H-4F2B,C(F)(F)(C(C(F)(C(F)(F)F)C(F)(F)F)(F)F)P(=O)(O)[O-],C(F)(F)(C(C(F)(C(F)(F)F)C(F)(F)F)(F)F)P(=O)(O)[O-]>O=P([O-])(O)C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F
CH3PO2-2FiPF_rad2,CP(=O)([O-])C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F,418.19,CH3PO2-2FiPF,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(C(F)(F)F)P(=O)([O-])C,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(C(F)(F)F)P(=O)([O-])C>CP(=O)([O-])C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F
SO3-2FiPF_rad4,O=S(=O)([O-])C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F,418.66,SO3-2FiPF,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(C(F)(F)F)S([O-])(=O)(=O),C(F)(C(C(F)(F)F)(F)C(F)(F)F)(C(F)(F)F)S([O-])(=O)(=O)>O=S(=O)([O-])C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F
PO3H-2FiPF_rad4,O=P([O-])(O)C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F,420.4,PO3H-2FiPF,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(C(F)(F)F)P(=O)(O)[O-],C(F)(C(C(F)(F)F)(F)C(F)(F)F)(C(F)(F)F)P(=O)(O)[O-]>O=P([O-])(O)C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F
CH3PO2H-2FiPF_rad3,CP(=O)(O)C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F,420.52,CH3PO2H-2FiPF,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(C(F)(F)F)P(=O)(O)C,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(C(F)(F)F)P(=O)(O)C>CP(=O)(O)C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F
NCH32-2FiPF_rad3,CN(C)C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F,421.72,NCH32-2FiPF,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(N(C)C)C(F)(F)F,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(N(C)C)C(F)(F)F>CN(C)C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F
