SMILES_CS,SMILES_rad,BDE_kJ,BDE_kcal
FC1(C(F)(F)F)C(C(F)(C(F)(F)F)C(C(F)(C(F)(F)F)C(F)1F)(F)F)(F)F,FC1(C(F)(F)F)C([C](C(F)(F)F)C(C(F)(C(F)(F)F)C(F)1F)(F)F)(F)F,386.5083277,92.3763
FC1(C(F)(F)F)C(C(F)(C(F)(F)F)C(C(F)(C(F)(F)F)C(F)1F)(F)F)(F)F,FC1(C(F)(F)F)C(C(F)(C(F)(F)F)[C](C(F)(C(F)(F)F)C(F)1F)F)(F)F,421.5042553,100.7404
FC1(C(F)(F)F)C(C(F)(C(F)(F)F)C(C(F)(C(F)(F)F)C(F)1F)(F)F)(F)F,FC1(C(F)(F)F)C(C(F)([C](F)F)C(C(F)(C(F)(F)F)C(F)1F)(F)F)(F)F,475.3958331,113.6206
FC(C(N)=O)(OC)C(F)(F)F,NC([C](OC)C(F)(F)F)=O,435.1593657,104.004
FC(C(N)=O)(OC)C(F)(F)F,FC(C(N)=O)(OC)[C](F)F,507.5876012,121.3145
FC(C(N)=O)C(F)(F)F,NC([CH]C(F)(F)F)=O,435.4639656,104.0768
FC(C(N)=O)C(F)(F)F,FC(C(N)=O)[C](F)F,502.1395318,120.0124
CC(C([O-])=O)(F)F,C[C](C([O-])=O)F,456.2821931,109.0524
[O-]C(C(CC)(F)F)=O,[O-]C([C](CC)F)=O,462.496783,110.5377
[O-]C(C(F)C(F)(F)F)=O,[O-]C([CH]C(F)(F)F)=O,440.1455145,105.1957
[O-]C(C(F)C(F)(F)F)=O,[O-]C(C(F)[C](F)F)=O,501.0395414,119.7495
CC(F)C([O-])=O,C[CH]C([O-])=O,449.8835045,107.5231
CC(F)(C)C([O-])=O,C[C](C)C([O-])=O,449.6630043,107.4704
[O-]C(/C=C/C(F)(F)F)=O,[O-]C(/C=C/[C](F)F)=O,446.4701453,106.7073
OCC(F)C(F)(C(F)(C(F)(C(F)(C(F)(C(CO)(F)F)F)F)F)F)F,OCC(F)C(F)(C(F)(C(F)(C(F)(C(F)([C](CO)F)F)F)F)F)F,461.1444936,110.2145
OCC(F)C(F)(C(F)(C(F)(C(F)(C(F)(C(CO)(F)F)F)F)F)F)F,OCC(F)C(F)(C(F)(C(F)(C(F)([C](C(CO)(F)F)F)F)F)F)F,450.0646744,107.5664
OCC(F)C(F)(C(F)(C(F)(C(F)(C(F)(C(CO)(F)F)F)F)F)F)F,OCC(F)C(F)(C(F)(C(F)([C](C(F)(C(CO)(F)F)F)F)F)F)F,441.9492644,105.6268
OCC(F)C(F)(C(F)(C(F)(C(F)(C(F)(C(CO)(F)F)F)F)F)F)F,OCC(F)C(F)(C(F)([C](C(F)(C(F)(C(CO)(F)F)F)F)F)F)F,444.9605351,106.3465
OCC(F)C(F)(C(F)(C(F)(C(F)(C(F)(C(CO)(F)F)F)F)F)F)F,OCC(F)C(F)([C](C(F)(C(F)(C(F)(C(CO)(F)F)F)F)F)F)F,454.1633833,108.546
OCC(F)C(F)(C(F)(C(F)(C(F)(C(F)(C(CO)(F)F)F)F)F)F)F,OCC(F)[C](C(F)(C(F)(C(F)(C(F)(C(CO)(F)F)F)F)F)F)F,445.0132543,106.3591
OCC(F)C(F)(C(F)(C(F)(C(F)(C(F)(C(CO)(F)F)F)F)F)F)F,OC[CH]C(F)(C(F)(C(F)(C(F)(C(F)(C(CO)(F)F)F)F)F)F)F,442.9521845,105.8665
