dummy,SMILES_rad,BDE kJ
NS(=O)(=O)[C](F)F,NS(=O)(=O)[C](F)F,552.76251
NC(=O)C(F)[C](F)F,NC(=O)C(F)[C](F)F,559.84974
COC(F)([C](F)F)C(N)=O,COC(F)([C](F)F)C(N)=O,559.599727
CNC(=O)[C](F)F,CNC(=O)[C](F)F,543.904131
CN(C(=O)[C](F)F)C(=O)C(F)(F)F,CN(C(=O)[C](F)F)C(=O)C(F)(F)F,518.876446
CCN(CC)C(=O)[C](F)F,CCN(CC)C(=O)[C](F)F,551.383487
NC(=O)[C](F)F,NC(=O)[C](F)F,541.517158
NC(=O)C(F)(F)C(F)(F)C(F)(F)[C](F)F,NC(=O)C(F)(F)C(F)(F)C(F)(F)[C](F)F,548.888614
NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,553.952049
NC(=O)C(F)(F)C(F)(F)[C](F)F,NC(=O)C(F)(F)C(F)(F)[C](F)F,553.096739
NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,555.525819
NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,554.965262
NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,558.312814
NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,558.094381
OCC(F)(F)C(F)[C](F)F,OCC(F)(F)C(F)[C](F)F,562.944646
OC[C](F)F,OC[C](F)F,572.584647
OCC(F)(F)C(F)(F)[C](F)F,OCC(F)(F)C(F)(F)[C](F)F,561.412983
OCC(F)(F)C(F)(F)C(F)(F)[C](F)F,OCC(F)(F)C(F)(F)C(F)(F)[C](F)F,556.194277
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,550.146578
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,558.044378
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,553.175691
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,551.191371
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,557.331181
OCC[C](F)F,OCC[C](F)F,570.858237
OCCC(F)(F)C(F)(F)[C](F)F,OCCC(F)(F)C(F)(F)[C](F)F,558.312814
OCCC(F)(F)C(F)(F)C(F)(F)[C](F)F,OCCC(F)(F)C(F)(F)C(F)(F)[C](F)F,555.575822
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,555.381075
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,549.996569
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,555.091585
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,551.146632
OCCC[C](F)F,OCCC[C](F)F,575.761137
OCCCC(F)(F)[C](F)F,OCCCC(F)(F)[C](F)F,566.323778
OCCCC(F)(F)C(F)(F)[C](F)F,OCCCC(F)(F)C(F)(F)[C](F)F,561.073491
OCCCC(F)(F)C(F)(F)C(F)(F)[C](F)F,OCCCC(F)(F)C(F)(F)C(F)(F)[C](F)F,553.088844
OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,546.456902
OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,554.223116
OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,560.915588
OCC(F)(OC(F)(F)C(F)(F)[C](F)F)C(F)(F)F,OCC(F)(OC(F)(F)C(F)(F)[C](F)F)C(F)(F)F,559.883952
OCC(F)(OC(F)(F)C(F)(F)C(F)(F)F)[C](F)F,OCC(F)(OC(F)(F)C(F)(F)C(F)(F)F)[C](F)F,554.05995
OCC(F)(F)C(F)([C](F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,OCC(F)(F)C(F)([C](F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,557.586458
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)([C](F)F)C(F)(F)F,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)([C](F)F)C(F)(F)F,547.054303
NC(=O)[CH]F,NC(=O)[CH]F,501.401806
NC(=O)[C](F)C(F)(F)C(F)(F)C(F)(F)F,NC(=O)[C](F)C(F)(F)C(F)(F)C(F)(F)F,496.088357
NC(=O)C(F)(F)[C](F)C(F)(F)C(F)(F)F,NC(=O)C(F)(F)[C](F)C(F)(F)C(F)(F)F,511.120759
NC(=O)C(F)(F)C(F)(F)[C](F)C(F)(F)F,NC(=O)C(F)(F)C(F)(F)[C](F)C(F)(F)F,519.010664
NC(=O)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,NC(=O)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,503.304541
NC(=O)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,NC(=O)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,508.873267
NC(=O)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)F,NC(=O)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)F,513.041916
NC(=O)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)F,NC(=O)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)F,524.834666
NC(=O)[C](F)C(F)(F)C(F)(F)F,NC(=O)[C](F)C(F)(F)C(F)(F)F,502.196586
NC(=O)C(F)(F)[C](F)C(F)(F)F,NC(=O)C(F)(F)[C](F)C(F)(F)F,521.726602
NC(=O)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,NC(=O)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,501.993944
NC(=O)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,NC(=O)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,512.94191
NC(=O)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,NC(=O)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,508.825896
NC(=O)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)F,NC(=O)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)F,515.560475
NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)F,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)F,525.453121
NC(=O)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,NC(=O)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,506.759993
NC(=O)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,NC(=O)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,510.720737
NC(=O)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,NC(=O)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,512.43662
NC(=O)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,NC(=O)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,508.652202
